드라마,날짜,회차,요일,배우,CPI,CPI증감률,경제성장률,실업률,미세먼지,연출자,작가,특이사항,시청률
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.02.25,1,0,75,96.436,2.9,0.7,4.2,47,5,10,0,22.3
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.02.26,2,1,75,96.436,2.9,0.7,4.2,47,5,10,0,28.9
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.03,3,0,75,96.436,2.9,0.7,3.7,43,5,10,0,25.7
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.04,4,1,75,96.436,2.9,0.7,3.7,43,5,10,0,29.9
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.10,5,0,75,96.436,2.9,0.7,3.7,43,5,10,0,26.9
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.11,6,1,75,96.436,2.9,0.7,3.7,43,5,10,0,32.8
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.17,7,0,75,96.436,2.9,0.7,3.7,43,5,10,0,27
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.18,8,1,75,96.436,2.9,0.7,3.7,43,5,10,0,32.8
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.24,9,0,75,96.436,2.9,0.7,3.7,43,5,10,0,29.1
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.25,10,1,75,96.436,2.9,0.7,3.7,43,5,10,0,36.1
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.03.31,11,0,75,96.436,2.9,0.7,3.7,43,5,10,0,30.1
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.01,12,1,75,96.637,-0.2,0.7,3.5,49,5,10,0,35.6
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.07,13,0,75,96.637,-0.2,0.7,3.5,49,5,10,0,27.8
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.08,14,1,75,96.637,-0.2,0.7,3.5,49,5,10,0,34.3
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.14,15,0,75,96.637,-0.2,0.7,3.5,49,5,10,0,27.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.15,16,1,75,96.637,-0.2,0.7,3.5,49,5,10,0,34.5
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.21,17,0,75,96.637,-0.2,0.7,3.5,49,5,10,0,32.4
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.22,18,1,75,96.637,-0.2,0.7,3.5,49,5,10,0,36.4
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.28,19,0,75,96.637,-0.2,0.7,3.5,49,5,10,0,30.1
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.04.29,20,1,75,96.637,-0.2,0.7,3.5,49,5,10,0,34.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.05.05,21,0,75,96.637,-0.2,0.7,3.1,48,5,10,0,26
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.05.06,22,1,75,96.637,-0.2,0.7,3.1,48,5,10,0,33.8
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.05.12,23,0,75,96.637,-0.2,0.7,3.1,48,5,10,0,29.3
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.05.13,24,1,75,96.637,-0.2,0.7,3.1,48,5,10,0,34.9
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.05.19,25,0,75,96.637,-0.2,0.7,3.1,48,5,10,0,30.6
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.05.20,26,1,75,96.637,-0.2,0.7,3.1,48,5,10,0,34
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.05.26,27,0,75,96.637,-0.2,0.7,3.1,48,5,10,1,27.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.05.27,28,1,75,96.637,-0.2,0.7,3.1,48,5,10,0,33.1
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.02,29,0,75,96.637,-0.2,0.7,3.2,37,5,10,0,29.6
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.03,30,1,75,96.637,-0.2,0.7,3.2,37,5,10,0,35.3
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.09,31,0,75,96.637,-0.2,0.7,3.2,37,5,10,0,29.8
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.10,32,1,75,96.637,-0.2,0.7,3.2,37,5,10,0,37.3
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.16,33,0,75,96.637,-0.2,0.7,3.2,37,5,10,0,30.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.17,34,1,75,96.637,-0.2,0.7,3.2,37,5,10,0,36.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.23,35,0,75,96.637,-0.2,0.7,3.2,37,5,10,0,31.5
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.24,36,1,75,96.637,-0.2,0.7,3.2,37,5,10,0,37
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.06.30,37,0,75,96.637,-0.2,0.7,3.2,37,5,10,0,34.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.01,38,1,75,96.913,1,0.4,3.1,27,5,10,0,36.7
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.07,39,0,75,96.913,1,0.4,3.1,27,5,10,0,31.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.08,40,1,75,96.913,1,0.4,3.1,27,5,10,0,38.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.14,41,0,75,96.913,1,0.4,3.1,27,5,10,0,36.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.15,42,1,75,96.913,1,0.4,3.1,27,5,10,0,41.9
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.21,43,0,75,96.913,1,0.4,3.1,27,5,10,0,30.5
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.22,44,1,75,96.913,1,0.4,3.1,27,5,10,0,37.6
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.28,45,0,75,96.913,1,0.4,3.1,27,5,10,1,26.7
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.07.29,46,1,75,96.913,1,0.4,3.1,27,5,10,1,33.3
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.08.04,47,0,75,96.913,1,0.4,3,24,5,10,1,27.5
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.08.05,48,1,75,96.913,1,0.4,3,24,5,10,1,30.1
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.08.11,49,0,75,96.913,1,0.4,3,24,5,10,1,30.1
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.08.12,50,1,75,96.913,1,0.4,3,24,5,10,0,40.7
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.08.18,51,0,75,96.913,1,0.4,3,24,5,10,0,35.2
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.08.19,52,1,75,96.913,1,0.4,3,24,5,10,0,42.1
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.08.25,53,0,75,96.913,1,0.4,3,24,5,10,0,35.4
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.08.26,54,1,75,96.913,1,0.4,3,24,5,10,0,40.7
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.09.01,55,0,75,97.168,-0.4,0.6,2.9,28,5,10,0,36.3
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.09.02,56,1,75,97.168,-0.4,0.6,2.9,28,5,10,0,40.9
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.09.08,57,0,75,97.168,-0.4,0.6,2.9,28,5,10,0,37.5
넝쿨째 굴러온 당신 (2012.02.25~2012.09.09),2012.09.09,58,1,75,97.168,-0.4,0.6,2.9,28,5,10,0,45.3
내 딸 서영이 (2012.09.15~2013.03.03),2012.09.15,1,0,76,97.168,-0.4,0.6,2.9,28,5,11,0,19.3
내 딸 서영이 (2012.09.15~2013.03.03),2012.09.16,2,1,76,97.168,-0.4,0.6,2.9,28,5,11,0,26.2
내 딸 서영이 (2012.09.15~2013.03.03),2012.09.22,3,0,76,97.168,-0.4,0.6,2.9,28,5,11,0,23.3
내 딸 서영이 (2012.09.15~2013.03.03),2012.09.23,4,1,76,97.168,-0.4,0.6,2.9,28,5,11,0,29.1
내 딸 서영이 (2012.09.15~2013.03.03),2012.09.29,5,0,76,97.168,-0.4,0.6,2.9,28,5,11,1,21.2
내 딸 서영이 (2012.09.15~2013.03.03),2012.09.30,6,1,76,97.168,-0.4,0.6,2.9,28,5,11,1,22.2
내 딸 서영이 (2012.09.15~2013.03.03),2012.10.06,7,0,76,97.168,-0.4,0.6,3.1,34,5,11,0,26.3
