,0
0,22.4
1,24.7
2,24.6
3,29.2
4,34.2
5,25.7
6,30.1
7,23.3
8,23.2
9,38.35
10,22.2
11,29.7
12,44.6
13,32.5
14,28.6
15,25.6
16,34.75
17,28.6
18,28.0
19,24.1
20,36.8
21,29.6
22,24.8
23,26.9
24,37.0
25,40.0
26,31.6
27,24.4
28,34.15
29,31.1
30,28.3
31,38.1
32,29.5
33,22.3
34,34.45
35,24.6
36,27.1
37,45.6
38,34.6
39,20.1
40,28.4
41,37.7
42,23.8
43,24.8
44,40.1
45,39.0
46,20.7
47,41.2
48,33.9
49,29.3
50,27.9
51,43.2
52,26.2
53,30.2
54,27.5
55,22.4
56,23.1
57,27.3
58,33.5
59,42.8
60,23.8
61,28.35
62,24.1
63,34.5
64,23.4
65,34.0
66,30.0
67,25.2
68,31.4
69,28.8
70,24.2
71,21.7
72,27.6
73,31.5
74,22.2
75,39.0
76,26.35
77,37.2
78,25.5
79,31.3
80,27.2
81,23.5
82,24.0
83,30.6
84,30.1
85,27.55
86,30.8
87,37.6
88,30.1
89,29.7
90,21.4
91,23.7
92,23.5
93,29.3
94,41.2
95,35.4
96,29.55
97,26.2
98,23.7
99,28.3
100,37.0
101,24.8
102,22.15
103,31.0
104,29.8
105,26.8
106,24.05
107,23.9
108,28.3
109,31.2
110,36.2
111,30.1
112,35.4
113,23.0
114,20.5
115,23.5
116,27.5
117,29.7
118,35.7
119,21.0
120,34.9
121,31.1
122,30.6
123,30.7
124,29.3
125,35.6
126,27.2
127,31.5
128,32.6
129,33.3
130,20.7
131,21.4
132,35.1
133,26.4
134,22.3
135,24.2
136,27.45
137,31.2
138,32.0
139,33.3
140,29.95
141,24.0
142,27.2
143,26.0
144,32.5
145,23.0
146,32.1
147,40.7
148,41.9
149,30.25
150,31.5
151,30.8
152,30.0
153,26.8
154,26.6
155,27.3
156,33.1
157,32.1
158,22.9
159,26.5
160,32.0
161,23.6
162,24.0
163,35.1
164,42.2
165,41.3
166,31.1
167,48.3
168,29.3
169,27.0
170,25.6
171,27.9
172,26.3
173,34.65
174,23.7
175,19.7
176,27.5
177,37.9
178,30.7
179,27.4
180,33.7
181,21.4
182,28.0
183,24.8
184,27.3
185,27.1
186,30.5
187,29.1
188,26.7
189,30.3
190,26.6
191,35.3
192,24.1
193,27.1
194,29.1
195,32.4
196,25.8
197,27.0
198,42.2
199,23.3
200,23.9
201,25.75
202,32.2
203,37.7
204,23.2
205,33.4
206,30.4
207,27.1
208,23.7
209,27.0
210,26.9
211,35.2
212,41.2
213,34.1
214,46.75
215,31.0
216,32.75
217,36.0
218,29.4
219,27.7
220,25.6
221,33.0
222,35.0
223,32.2
224,36.9
225,38.8
226,23.8
227,26.9
228,21.2
229,22.4
230,29.8
231,43.2
232,32.1
233,22.1
234,22.9
235,26.3
236,33.2
237,32.8
238,19.1
239,27.7
240,40.1
241,30.8
242,35.8
243,29.05
244,27.9
245,28.0
246,25.4
247,32.9
248,25.9
249,34.4
250,34.6
251,30.3
252,25.0
253,19.3
254,32.7
255,42.1
256,27.1
257,26.1
258,28.35
259,29.0
260,35.05
261,29.8
262,42.15
263,27.5
264,36.8
265,22.5
266,31.6
267,28.7
268,38.8
269,22.2
270,30.5
271,25.0
272,24.3
273,27.6
274,34.5
275,29.5
276,24.5
277,23.1
278,27.9
279,47.6
280,41.9
281,40.3
282,21.7
283,35.0
284,34.1
285,33.1
286,26.3
287,30.9
288,31.3
289,29.7
290,21.9
291,36.2
292,23.7
293,41.2
294,19.35
295,40.7
296,29.1
297,30.2
298,32.3
299,27.2
300,23.2
301,29.3
302,25.7
303,20.3
304,26.6
305,21.6
306,25.5
307,39.1
308,31.4
309,23.2
310,26.3
311,22.6
312,24.6
313,25.4
314,32.1
315,22.75
316,28.1
317,34.2
318,26.5
319,28.6
320,34.9
321,28.0
322,24.0
323,29.8
324,30.0
325,27.4
326,21.4
327,27.7
328,21.7
329,28.3
330,29.0
331,35.6
332,32.6
333,36.3
334,25.5
335,28.2
336,30.8
337,19.7
338,25.1
339,29.9
340,24.0
341,45.1
342,32.4
343,27.0
344,24.3
345,33.4
346,32.5
347,26.9
348,35.5
349,29.0
350,21.2
351,28.6
352,25.0
353,26.3
354,28.4
355,30.6
356,37.85
357,27.1
358,30.1
359,22.2
360,27.3
361,19.7
362,30.9
363,23.0
364,24.3
365,46.7
366,36.2
367,23.8
368,33.4
369,28.6
370,23.5
371,24.2
372,27.7
373,32.5
374,21.4
375,30.9
376,27.1
377,29.6
378,34.3
379,21.8
380,20.0
381,24.3
382,30.1
383,23.1
384,24.75
385,22.5
386,40.7
387,25.0
388,31.4
389,40.25
390,29.5
391,22.5
392,25.2
393,27.4
394,29.4
395,26.5
396,23.9
397,32.1
398,25.2
399,38.1
400,28.1
401,26.1
402,23.7
403,29.0
404,46.2
405,37.0
406,26.7
407,28.6
408,21.7
409,22.7
410,41.9
411,21.9
412,27.6
413,27.1
414,38.7
415,36.4
416,30.65
417,24.4
418,25.2
419,29.25
420,27.5
421,24.6
422,28.8
423,27.0
424,30.1
425,27.7
426,44.6
427,36.7
428,35.6
429,22.3
430,22.5
431,24.6
432,27.4
433,21.2
434,36.0
435,26.7
436,29.2
437,36.9
438,41.1
439,22.4
440,27.4
441,33.1
442,23.3
443,28.4
444,43.9
445,26.2
446,24.2
447,32.4
448,37.3
449,24.5
450,23.2
451,28.0
452,31.7
453,36.2
454,32.1
455,23.1
456,23.7
457,24.4
458,38.1
459,28.05
460,32.3
461,23.75
462,27.8
463,38.1
464,29.6
465,31.6
466,31.0
467,41.2
468,25.8
469,44.2
470,34.2
471,40.7
472,24.2
473,20.6
474,38.7
475,27.9
476,39.7
477,25.6
478,25.55
479,31.6
480,30.9
481,23.2
482,32.3
483,26.8
484,36.9
485,26.4
486,26.8
487,36.85
488,28.7
489,24.5
490,25.4
491,26.6
492,30.6
493,37.9
494,26.5
495,23.5
496,26.0
497,23.1
498,21.3
499,43.4
500,26.85
501,25.9
502,43.9
503,29.8
504,30.9
505,33.7
506,24.3
507,40.2
508,26.7
509,34.9
510,26.4
511,26.0
512,26.2
513,40.7
514,22.7
515,31.5
516,30.75
517,34.7
518,32.4
519,29.6
520,28.8
521,22.2
522,21.4
523,22.4
524,36.4
525,27.1
526,28.5
527,28.45
528,37.6
529,22.3
530,26.2
531,21.3
532,25.6
533,27.3
534,27.3
535,14.9
536,26.4
537,35.4
538,22.3
539,24.2
540,32.4
541,31.8
542,23.4
543,24.9
544,36.8
545,25.1
546,29.6
547,26.1
548,28.0
549,31.0
550,27.0
551,29.2
552,30.5
553,23.3
554,26.7
555,22.6
556,32.4
557,26.7
558,30.6
559,30.4
560,23.3
561,39.3
562,26.6
563,25.4
564,19.9
565,25.7
566,33.4
567,28.2
568,34.55
569,37.9
570,26.1
571,22.4
572,20.6
573,24.2
574,23.0
575,30.2
576,31.8
577,25.7
578,36.2
579,34.9
580,25.6
581,25.9
582,25.7
583,34.4
584,33.3
585,34.7
586,30.3
587,46.0
